,precision,recall,f1-score,support
0,0.6256128796194658,0.9159642857142857,0.7434451771867526,56000.0
1,0.9495881136784823,0.7427874745477245,0.8335527429334436,119341.0
accuracy,0.7980962809610986,0.7980962809610986,0.7980962809610986,0.7980962809610986
macro avg,0.787600496648974,0.8293758801310052,0.7884989600600981,175341.0
weighted avg,0.8461176583525465,0.7980962809610986,0.8047743985541216,175341.0
